SQLDATE,date,Actor1Name,Actor1CountryCode,EventCode,EventLabel,QuadClass,GoldsteinScale,NumMentions,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,SourceDomain,GKG_Themes,GKG_Persons,GKG_Organizations,GKG_Locations,GKG_V2Tone,GKG_SharingImage,GKG_DocId,QuadLabel,IsConflict,IsNegative,MediaWeight,IsNorthBenin,ZoneBenin,DepartementBenin,SourceRegion,GoldsteinNorm,ToneNorm,month,ToneCategory,GoldsteinBin,cluster_kmeans,PCA1,PCA2,cluster_dbscan,proba_conflict
20250307,2025-03-07,Gouvernement,BN,10,Declaration publique,1,2.44,8,1,2.79,Lokossa,6.6392,1.7153,bbc.com,,Alassane Ouattara;Thomas Boni Yayi,FMI;PNUD;Banque Mondiale,"Lokossa, Benin","2.79,2.79,0.0,2.79,1.51,377",,20250307000000-bbc_com-BN-00010,Cooperation verbale,0,0,8,0,Sud,Mono,International,0.622,0.5698,2025-03,Positif,Neutre,0,-1.1674630352137185,0.9192574444520718,0,0.0003153966
20251030,2025-10-30,Institution internationale,BN,180,Attaque,4,-0.97,12,4,-4.57,Porto-Novo,6.4969,2.6289,fraternite.bj,ELECTIONS,Paul Biya,,"Porto-Novo, Benin","-4.57,0.0,4.57,4.57,0.12,629",,20251030000000-fraternite_bj-BN-00011,Conflit materiel,1,1,48,0,Sud,Oueme,Benin,0.4515,0.3858,2025-10,Negatif,Leg. negatif,1,0.8110774390342577,-1.072286006980581,0,0.9869251
20250823,2025-08-23,ONG,GH,130,Protestation,3,-8.54,8,1,-1.93,Abomey-Calavi,6.4484,2.3552,beninwebtv.com,ENVIRONMENT;MILITARY;PROTEST,Paul Biya,Union Africaine;Banque Mondiale;PNUD,"Abomey-Calavi, Benin","-1.93,0.0,1.93,1.93,1.77,376",,20250823000000-beninwebtv_com-BN-00012,Conflit verbal,1,1,8,0,Sud,Atlantique,Benin,0.073,0.4518,2025-08,Neutre,Tres destabilisant,1,-0.9681985120677499,-2.2911855023362593,0,0.9992367
20251005,2025-10-05,Gouvernement,BN,36,Critique politique,1,-0.16,18,5,-2.8,Cotonou,6.3654,2.4183,matinlibre.com,ECONOMY,Mahamadou Issoufou,Gouvernement Beninois;PNUD,"Cotonou, Benin","-2.8,0.0,2.8,2.8,0.17,145",,20251005000000-matinlibre_com-BN-00013,Cooperation verbale,0,1,90,0,Sud,Littoral,Benin,0.492,0.43,2025-10,Negatif,Leg. negatif,1,2.5046734480913893,-0.45294702375755447,-1,0.1908777
20250721,2025-07-21,Citoyen,BN,20,Appel action,1,3.69,3,2,-1.19,Abomey-Calavi,6.4484,2.3552,fraternite.bj,,Abdoulaye Bio Tchane,ONU;PNUD;UNICEF,"Abomey-Calavi, Benin","-1.19,0.0,1.19,1.19,1.85,349",https://www.rfi.fr/img/placeholder.jpg,20250721000000-fraternite_bj-BN-00014,Cooperation verbale,0,1,6,0,Sud,Atlantique,Benin,0.6845,0.4702,2025-07,Neutre,Stabilisant,0,-1.4917690296459922,0.3951580501032732,0,0.00020294207
20251216,2025-12-16,ONG,BN,20,Appel action,1,3.37,14,1,-0.11,Natitingou,10.3081,1.3784,beninwebtv.com,HUMAN_RIGHTS;ECONOMY;ELECTIONS;PROTEST,Macky Sall;Lionel Zinsou,PNUD;OMS;Assemblee Nationale,"Natitingou, Benin","-0.11,0.0,0.11,0.11,0.9,119",,20251216000000-beninwebtv_com-BN-00015,Cooperation verbale,0,1,14,1,Nord,Atacora,Benin,0.6685,0.4972,2025-12,Neutre,Stabilisant,0,-0.43389825500452006,0.6411442922492594,0,0.00034083656
20250813,2025-08-13,Medias,GH,36,Critique politique,1,2.87,16,7,2.28,Parakou,9.337,2.6282,24haubenin.com,RELIGION;HEALTH;DEMOCRACY,Abdoulaye Bio Tchane,,"Parakou, Benin","2.28,2.28,0.0,2.28,0.88,462",,20250813000000-24haubenin_com-BN-00016,Cooperation verbale,0,0,112,1,Nord,Borgou,Benin,0.6435,0.557,2025-08,Positif,Neutre,0,3.0982479886371688,1.1555401774915293,-1,5.762972e-05
20250324,2025-03-24,Gouvernement,US,60,Cooperation materielle,2,-0.21,12,2,1.91,Abomey-Calavi,6.4484,2.3552,24haubenin.com,,Mahamadou Issoufou,ONU,"Abomey-Calavi, Benin","1.91,1.91,0.0,1.91,0.73,67",,20250324000000-24haubenin_com-BN-00017,Cooperation materielle,0,0,24,0,Sud,Atlantique,Benin,0.4895,0.5478,2025-03,Neutre,Leg. negatif,0,-0.17967876558517373,0.2567976950308264,0,0.021324817
20250215,2025-02-15,Citoyen,BN,50,Appel cooperation,1,0.7,6,3,-0.09,Parakou,9.337,2.6282,24haubenin.com,ENVIRONMENT;DEVELOPMENT;HUMAN_RIGHTS,Thomas Boni Yayi,PNUD;CEDEAO,"Parakou, Benin","-0.09,0.0,0.09,0.09,1.84,734",https://www.rfi.fr/img/placeholder.jpg,20250215000000-24haubenin_com-BN-00018,Cooperation verbale,0,1,18,1,Nord,Borgou,Benin,0.535,0.4978,2025-02,Neutre,Neutre,0,-0.7041999093467877,0.015451565402024551,0,0.006683978
20250330,2025-03-30,Gouvernement,BN,36,Critique politique,1,2.56,6,1,2.24,Ouidah,6.36,2.0852,beninwebtv.com,,,CEDEAO;ONU,"Ouidah, Benin","2.24,2.24,0.0,2.24,1.72,409",,20250330000000-beninwebtv_com-BN-00019,Cooperation verbale,0,0,6,0,Sud,Atlantique,Benin,0.628,0.556,2025-03,Positif,Neutre,0,-1.404678706976689,0.8198592669654774,0,0.00034908662
20250705,2025-07-05,Parti politique,US,70,Aide/assistance,2,3.09,8,4,4.7,Parakou,9.337,2.6282,rfi.fr,HEALTH;POLITICAL_VIOLENCE;DEMOCRACY;DEVELOPMENT,Abdoulaye Bio Tchane,Gouvernement Beninois,"Parakou, Benin","4.7,4.7,0.0,4.7,1.94,131",https://www.rfi.fr/img/placeholder.jpg,20250705000000-rfi_fr-BN-00020,Cooperation materielle,0,0,32,1,Nord,Borgou,International,0.6545,0.6175,2025-07,Positif,Stabilisant,0,-0.07930088981625863,1.4574433978955825,0,1.254804e-05
20250708,2025-07-08,Gouvernement,US,20,Appel action,1,-0.09,6,1,1.94,Lokossa,6.6392,1.7153,beninwebtv.com,,,PNUD;Gouvernement Beninois,"Lokossa, Benin","1.94,1.94,0.0,1.94,0.17,716",,20250708000000-beninwebtv_com-BN-00021,Cooperation verbale,0,0,6,0,Sud,Mono,Benin,0.4955,0.5485,2025-07,Neutre,Leg. negatif,0,-1.3640238787401218,0.20146861311068068,0,0.0086035095
20250903,2025-09-03,Police,BN,36,Critique politique,1,5.44,10,2,-1.35,Kandi,11.1342,2.9394,fraternite.bj,TERRORISM;HUMAN_RIGHTS,Thomas Boni Yayi,,"Kandi, Benin","-1.35,0.0,1.35,1.35,0.74,66",,20250903000000-fraternite_bj-BN-00022,Cooperation verbale,0,1,20,1,Nord,Alibori,Benin,0.772,0.4662,2025-09,Neutre,Stabilisant,0,-0.5170238098633223,0.8229004652083454,0,5.2467723e-05
20250215,2025-02-15,Gouvernement,TG,40,Consultation diplomatique,1,1.66,11,2,1.54,Porto-Novo,6.4969,2.6289,apanews.net,,Abdoulaye Bio Tchane,CEDEAO;Union Africaine,"Porto-Novo, Benin","1.54,1.54,0.0,1.54,0.59,533",https://www.rfi.fr/img/placeholder.jpg,20250215000000-apanews_net-BN-00023,Cooperation verbale,0,0,22,0,Sud,Oueme,Afrique,0.583,0.5385,2025-02,Neutre,Neutre,0,-0.34582539313116106,0.572049229274663,0,0.00021334618
20250914,2025-09-14,Militaire,FR,50,Appel cooperation,1,3.83,5,1,-0.24,Cotonou,6.3654,2.4183,matinlibre.com,ECONOMY;EDUCATION,,Banque Mondiale,"Cotonou, Benin","-0.24,0.0,0.24,0.24,0.62,493",https://www.rfi.fr/img/placeholder.jpg,20250914000000-matinlibre_com-BN-00024,Cooperation verbale,0,1,5,0,Sud,Littoral,Benin,0.6915,0.494,2025-09,Neutre,Stabilisant,0,-1.5211022635196703,0.6160960572793946,0,0.00015458063
20251218,2025-12-18,Medias,TG,120,Menace,3,-3.98,8,2,0.01,Porto-Novo,6.4969,2.6289,beninwebtv.com,,Lionel Zinsou,CEDEAO,"Porto-Novo, Benin","0.01,0.01,0.0,0.01,0.86,657",,20251218000000-beninwebtv_com-BN-00025,Conflit verbal,1,0,16,0,Sud,Oueme,Benin,0.301,0.5003,2025-12,Neutre,Destabilisant,1,-0.6793099974609621,-0.9468162547422961,0,0.89058244
20250302,2025-03-02,Parti politique,TG,20,Appel action,1,2.35,12,4,1.9,Kandi,11.1342,2.9394,fraternite.bj,EDUCATION,,Union Africaine,"Kandi, Benin","1.9,1.9,0.0,1.9,1.84,694",https://www.rfi.fr/img/placeholder.jpg,20250302000000-fraternite_bj-BN-00026,Cooperation verbale,0,0,48,1,Nord,Alibori,Benin,0.6175,0.5475,2025-03,Neutre,Neutre,0,0.7061509007037995,0.8381978977543865,0,0.0018325408
20250415,2025-04-15,Medias,BN,60,Cooperation materielle,2,-0.59,1,2,-0.46,Cotonou,6.3654,2.4183,apanews.net,,,Banque Mondiale,"Cotonou, Benin","-0.46,0.0,0.46,0.46,0.53,222",https://www.bbc.com/img/default.jpg,20250415000000-apanews_net-BN-00027,Cooperation materielle,0,1,2,0,Sud,Littoral,Afrique,0.4705,0.4885,2025-04,Neutre,Leg. negatif,0,-1.7221519209225409,-0.4014162266581394,0,0.037179068
20251203,2025-12-03,Medias,NG,70,Aide/assistance,2,2.24,3,1,0.97,Parakou,9.337,2.6282,24haubenin.com,HUMAN_RIGHTS,,ONU,"Parakou, Benin","0.97,0.97,0.0,0.97,0.04,457",,20251203000000-24haubenin_com-BN-00028,Cooperation materielle,0,0,3,1,Nord,Borgou,Benin,0.612,0.5242,2025-12,Neutre,Neutre,0,-1.7493981134851242,0.48186314813631953,0,0.031958036
20250114,2025-01-14,Militaire,BN,10,Declaration publique,1,2.86,15,2,2.86,Kandi,11.1342,2.9394,fraternite.bj,,Paul Biya,UNICEF,"Kandi, Benin","2.86,2.86,0.0,2.86,0.3,57",,20250114000000-fraternite_bj-BN-00029,Cooperation verbale,0,0,30,1,Nord,Alibori,Benin,0.643,0.5715,2025-01,Positif,Neutre,0,0.19579517508377564,1.122052776969297,0,7.0958275e-05
20251028,2025-10-28,Parti politique,US,70,Aide/assistance,2,2.98,11,8,2.6,Porto-Novo,6.4969,2.6289,matinlibre.com,EDUCATION;CORRUPTION;ENVIRONMENT;ECONOMY,,PNUD,"Porto-Novo, Benin","2.6,2.6,0.0,2.6,0.14,684",,20251028000000-matinlibre_com-BN-00030,Cooperation materielle,0,0,88,0,Sud,Oueme,Benin,0.649,0.565,2025-10,Positif,Neutre,0,2.2585148278657963,1.162716547935335,0,8.835405e-05
20250318,2025-03-18,Gouvernement,BN,20,Appel action,1,0.46,5,3,4.81,Abomey-Calavi,6.4484,2.3552,bbc.com,DEVELOPMENT;EDUCATION,,Banque Mondiale;FMI;PNUD,"Abomey-Calavi, Benin","4.81,4.81,0.0,4.81,0.23,275",,20250318000000-bbc_com-BN-00031,Cooperation verbale,0,0,15,0,Sud,Atlantique,International,0.523,0.6202,2025-03,Positif,Neutre,0,-0.9092194549593697,0.863631885456378,0,0.00022655143
20250818,2025-08-18,Militaire,GH,10,Declaration publique,1,-1.7,4,3,-2.5,Cotonou,6.3654,2.4183,beninwebtv.com,HEALTH;HUMAN_RIGHTS;ENVIRONMENT;ELECTIONS,,FMI;Banque Mondiale,"Cotonou, Benin","-2.5,0.0,2.5,2.5,0.03,511",,20250818000000-beninwebtv_com-BN-00032,Cooperation verbale,0,1,12,0,Sud,Littoral,Benin,0.415,0.4375,2025-08,Negatif,Leg. negatif,1,-0.978549348301522,-0.9708708142153312,0,0.36901188
20250616,2025-06-16,Gouvernement,BN,170,Coercition,4,-1.62,6,4,-2.52,Cotonou,6.3654,2.4183,matinlibre.com,DEMOCRACY,Thomas Boni Yayi,Union Africaine;FMI;OMS,"Cotonou, Benin","-2.52,0.0,2.52,2.52,0.28,362",https://www.bbc.com/img/default.jpg,20250616000000-matinlibre_com-BN-00033,Conflit materiel,1,1,24,0,Sud,Littoral,Benin,0.419,0.437,2025-06,Negatif,Leg. negatif,1,-0.32279261343848736,-0.9181699790863467,0,0.7973715
20250307,2025-03-07,Gouvernement,BN,170,Coercition,4,-0.37,7,4,-6.68,Kandi,11.1342,2.9394,beninwebtv.com,,,Union Africaine,"Kandi, Benin","-6.68,0.0,6.68,6.68,0.94,570",https://www.bbc.com/img/default.jpg,20250307000000-beninwebtv_com-BN-00034,Conflit materiel,1,1,28,1,Nord,Alibori,Benin,0.4815,0.333,2025-03,Tres negatif,Leg. negatif,1,-0.1163399047103584,-1.4134423741496993,0,0.9887827
20250201,2025-02-01,Syndicat,BN,130,Protestation,3,-5.06,6,5,-2.79,Cotonou,6.3654,2.4183,apanews.net,PROTEST;MILITARY,,FMI,"Cotonou, Benin","-2.79,0.0,2.79,2.79,1.37,456",https://www.rfi.fr/img/placeholder.jpg,20250201000000-apanews_net-BN-00035,Conflit verbal,1,1,30,0,Sud,Littoral,Afrique,0.247,0.4302,2025-02,Negatif,Destabilisant,1,0.055529931443791695,-1.6868277243934868,0,0.9995004
20250406,2025-04-06,Gouvernement,BN,36,Critique politique,1,0.1,9,1,1.37,Cotonou,6.3654,2.4183,rfi.fr,POLITICAL_VIOLENCE,Abdoulaye Bio Tchane;Macky Sall,CEDEAO,"Cotonou, Benin","1.37,1.37,0.0,1.37,1.63,600",,20250406000000-rfi_fr-BN-00036,Cooperation verbale,0,0,9,0,Sud,Littoral,International,0.505,0.5342,2025-04,Neutre,Neutre,0,-1.0010976870001709,0.16809963984304038,0,0.004097508
20250227,2025-02-27,Parti politique,BN,10,Declaration publique,1,1.83,6,3,2.3,Lokossa,6.6392,1.7153,24haubenin.com,POLITICAL_VIOLENCE;DIPLOMACY;HEALTH;EDUCATION,,OMS;CEDEAO;FMI,"Lokossa, Benin","2.3,2.3,0.0,2.3,0.36,143",,20250227000000-24haubenin_com-BN-00037,Cooperation verbale,0,0,18,0,Sud,Mono,Benin,0.5915,0.5575,2025-02,Positif,Neutre,0,-0.7415661260156414,0.7004832487615784,0,0.00020109983
20250414,2025-04-14,ONG,US,100,Demande,1,1.93,3,10,-0.94,Porto-Novo,6.4969,2.6289,rfi.fr,DEMOCRACY;HEALTH,Alassane Ouattara;Paul Biya,UNICEF;PNUD;OMS,"Porto-Novo, Benin","-0.94,0.0,0.94,0.94,0.57,657",,20250414000000-rfi_fr-BN-00038,Cooperation verbale,0,1,30,0,Sud,Oueme,International,0.5965,0.4765,2025-04,Neutre,Neutre,0,0.6054399564148866,0.13430766653634635,0,0.0037480013
20251108,2025-11-08,Medias,FR,50,Appel cooperation,1,4.05,9,3,0.11,Malanville,11.8683,3.3836,rfi.fr,EDUCATION;DEVELOPMENT,,OMS,"Malanville, Benin","0.11,0.11,0.0,0.11,0.51,441",https://www.rfi.fr/img/placeholder.jpg,20251108000000-rfi_fr-BN-00039,Cooperation verbale,0,0,27,1,Nord,Alibori,International,0.7025,0.5028,2025-11,Neutre,Stabilisant,0,-0.25879849224285684,0.8046629174274619,0,3.7577523e-05
20250514,2025-05-14,Citoyen,BN,10,Declaration publique,1,-2.09,21,2,-1.17,Malanville,11.8683,3.3836,bbc.com,CORRUPTION,Paul Biya,,"Malanville, Benin","-1.17,0.0,1.17,1.17,0.29,491",https://www.bbc.com/img/default.jpg,20250514000000-bbc_com-BN-00040,Cooperation verbale,0,1,42,1,Nord,Alibori,International,0.3955,0.4707,2025-05,Neutre,Leg. negatif,1,1.1582909214489292,-0.6064321094010477,-1,0.21660806
20250805,2025-08-05,Syndicat,BN,60,Cooperation materielle,2,-0.71,8,3,2.5,Cotonou,6.3654,2.4183,apanews.net,TERRORISM;MILITARY;RELIGION,Macky Sall,Union Africaine;Gouvernement Beninois,"Cotonou, Benin","2.5,2.5,0.0,2.5,1.28,497",,20250805000000-apanews_net-BN-00041,Cooperation materielle,0,0,24,0,Sud,Littoral,Afrique,0.4645,0.5625,2025-08,Positif,Leg. negatif,0,-0.3767820716441353,0.22591291847263045,0,0.0098689515
20250308,2025-03-08,ONG,BN,10,Declaration publique,1,2.86,9,6,-4.45,Cotonou,6.3654,2.4183,matinlibre.com,PROTEST;DEVELOPMENT;ELECTIONS,,OMS;Union Africaine,"Cotonou, Benin","-4.45,0.0,4.45,4.45,0.58,384",,20250308000000-matinlibre_com-BN-00042,Cooperation verbale,0,1,54,0,Sud,Littoral,Benin,0.643,0.3888,2025-03,Negatif,Neutre,0,0.9803826205921449,-0.24953094133530912,-1,0.6459439
20250627,2025-06-27,Militaire,BN,145,Manifestation/revolte,4,-4.34,10,2,-2.89,Bohicon,7.1824,2.066,matinlibre.com,,,,"Bohicon, Benin","-2.89,0.0,2.89,2.89,0.63,536",,20250627000000-matinlibre_com-BN-00043,Conflit materiel,1,1,20,0,Centre,Zou,Benin,0.283,0.4278,2025-06,Negatif,Destabilisant,1,-0.36318388565379445,-1.5392568871977323,0,0.99604344
20250904,2025-09-04,Medias,BN,36,Critique politique,1,0.49,6,2,0.0,Porto-Novo,6.4969,2.6289,rfi.fr,ECONOMY;HEALTH;PROTEST,Alassane Ouattara,,"Porto-Novo, Benin","0.0,0.0,0.0,0.0,1.35,195",,20250904000000-rfi_fr-BN-00044,Cooperation verbale,0,0,12,0,Sud,Oueme,International,0.5245,0.5,2025-09,Neutre,Neutre,0,-1.028557580458954,-0.024905680926962864,0,0.01349858
20251021,2025-10-21,ONG,BN,100,Demande,1,6.69,11,5,4.07,Cotonou,6.3654,2.4183,beninwebtv.com,ENVIRONMENT;MILITARY;ECONOMY,Mahamadou Issoufou;Thomas Boni Yayi,Gouvernement Beninois;Union Africaine;Assemblee Nationale,"Cotonou, Benin","4.07,4.07,0.0,4.07,1.35,659",https://www.rfi.fr/img/placeholder.jpg,20251021000000-beninwebtv_com-BN-00045,Cooperation verbale,0,0,55,0,Sud,Littoral,Benin,0.8345,0.6018,2025-10,Positif,Stabilisant,0,0.8759439982618714,2.1681433213830785,-1,3.0513984e-05
20250823,2025-08-23,Medias,BN,40,Consultation diplomatique,1,1.38,10,2,-2.1,Bohicon,7.1824,2.066,lanouvelletribune.bj,DIPLOMACY;ELECTIONS,Paul Biya,Gouvernement Beninois;ONU,"Bohicon, Benin","-2.1,0.0,2.1,2.1,1.68,305",,20250823000000-lanouvelletribune_bj-BN-00046,Cooperation verbale,0,1,20,0,Centre,Zou,Benin,0.569,0.4475,2025-08,Negatif,Neutre,0,-0.4521817409951783,-0.1782822027046434,0,0.021947062
20250511,2025-05-11,Syndicat,NG,60,Cooperation materielle,2,3.34,7,8,5.04,Cotonou,6.3654,2.4183,beninwebtv.com,CORRUPTION;TERRORISM;DEMOCRACY;HUMAN_RIGHTS,,,"Cotonou, Benin","5.04,5.04,0.0,5.04,0.33,501",,20250511000000-beninwebtv_com-BN-00047,Cooperation materielle,0,0,56,0,Sud,Littoral,Benin,0.667,0.626,2025-05,Tres positif,Stabilisant,0,1.1227002523308725,1.6129975255260238,0,9.0244985e-06
20250422,2025-04-22,Parti politique,BN,60,Cooperation materielle,2,-1.42,11,8,3.67,Ouidah,6.36,2.0852,24haubenin.com,ECONOMY,Lionel Zinsou;Thomas Boni Yayi,Gouvernement Beninois;OMS,"Ouidah, Benin","3.67,3.67,0.0,3.67,0.77,349",,20250422000000-24haubenin_com-BN-00048,Cooperation materielle,0,0,88,0,Sud,Atlantique,Benin,0.429,0.5918,2025-04,Positif,Leg. negatif,0,2.3121017325716235,0.42866723375076504,-1,0.001269732
20250223,2025-02-23,Gouvernement,BN,20,Appel action,1,3.34,6,1,4.41,Cotonou,6.3654,2.4183,bbc.com,ENVIRONMENT;EDUCATION,Lionel Zinsou;Macky Sall,FMI;PNUD;Union Africaine,"Cotonou, Benin","4.41,4.41,0.0,4.41,1.97,624",,20250223000000-bbc_com-BN-00049,Cooperation verbale,0,0,6,0,Sud,Littoral,International,0.667,0.6102,2025-02,Positif,Stabilisant,0,-1.4350767865473955,1.389589384742081,0,5.1267187e-05
20251017,2025-10-17,Parti politique,BN,180,Attaque,4,-5.98,6,3,-6.68,Cotonou,6.3654,2.4183,apanews.net,ECONOMY;HUMAN_RIGHTS;MILITARY;DEVELOPMENT,Alassane Ouattara;Mahamadou Issoufou,UNICEF;CEDEAO,"Cotonou, Benin","-6.68,0.0,6.68,6.68,1.2,797",,20251017000000-apanews_net-BN-00050,Conflit materiel,1,1,18,0,Sud,Littoral,Afrique,0.201,0.333,2025-10,Tres negatif,Destabilisant,1,-0.5499983142328102,-2.631309187230665,0,0.9999827
20250827,2025-08-27,Parti politique,BN,120,Menace,3,-4.79,7,2,-2.44,Cotonou,6.3654,2.4183,apanews.net,ENVIRONMENT;DEVELOPMENT,,Banque Mondiale,"Cotonou, Benin","-2.44,0.0,2.44,2.44,0.77,432",,20250827000000-apanews_net-BN-00051,Conflit verbal,1,1,14,0,Sud,Littoral,Afrique,0.2605,0.439,2025-08,Negatif,Destabilisant,1,-0.7885960366593824,-1.5881641018185935,0,0.9991697
20250828,2025-08-28,Police,BN,170,Coercition,4,-4.8,18,3,-4.38,Djougou,9.7082,1.6599,beninwebtv.com,PROTEST;RELIGION;ENVIRONMENT;EDUCATION,Paul Biya,,"Djougou, Benin","-4.38,0.0,4.38,4.38,0.78,683",https://www.bbc.com/img/default.jpg,20250828000000-beninwebtv_com-BN-00052,Conflit materiel,1,1,54,1,Nord,Donga,Benin,0.26,0.3905,2025-08,Negatif,Destabilisant,1,1.3935251146189824,-1.788516633684736,0,0.9999528
20251022,2025-10-22,Gouvernement,BN,140,Refus cooperation,3,-0.0,11,4,-3.55,Bohicon,7.1824,2.066,fraternite.bj,,Macky Sall,Union Africaine;ONU,"Bohicon, Benin","-3.55,0.0,3.55,3.55,1.43,206",,20251022000000-fraternite_bj-BN-00053,Conflit verbal,1,1,44,0,Centre,Zou,Benin,0.5,0.4112,2025-10,Negatif,Neutre,1,0.6006584525907164,-0.6919472848139842,0,0.917081
